Order,Player name,Recipient,event_id,min,sec,outcome,period_id,team_id,Angle,Degrees,Y travel,X travel,Distance,Goalmouth Y,Goalmouth Z,X-end,x,Y-end,y
126,"Toure, Gnegneri Yaya",N,75,6,51,Complete,1st,43,3.8,217.7239622,-4.5,-3.5,4.8,,,60.7,64.2,15.1,19.6
128,"Richards, Micah","Barry, Gareth",77,6,52,Complete,1st,43,0.7,40.10704566,7.2,5.9,7.9,,,64.6,58.7,22.6,15.4
130,"Barry, Gareth","Silva, David",78,6,54,Complete,1st,43,5.2,297.9380535,-5.8,2,4.5,,,66.1,64.1,15.7,21.5
132,"Silva, David",Incomplete pass,79,6,55,Incomplete,1st,43,1.2,68.75493542,8.7,2.1,6.3,,,72.8,70.7,26.3,17.6
134,"Klasnic, Ivan",Incomplete pass,56,6,59,Incomplete,1st,30,0.2,11.4591559,10.7,27.8,30.1,,,57.4,29.6,93.1,82.4
136,"Kompany, Vincent",N,82,7,1,Complete,1st,43,6.2,355.233833,-1.4,12.3,13,,,56.7,44.4,5.5,6.9
138,"Robinson, Paul","Klasnic, Ivan",58,7,4,Complete,1st,30,5.7,326.5859432,-5.6,5.8,7.2,,,36.3,30.5,91.1,96.7
140,"Klasnic, Ivan",Incomplete pass,59,7,5,Incomplete,1st,30,1.9,108.8619811,8.9,-2.1,7.1,,,34.2,36.3,100,91.1
142,"Silva, David","Aguero, Sergio",85,7,8,Complete,1st,43,0.3,17.18873385,8.1,21.3,23.3,,,81,59.7,8.1,0
144,"Aguero, Sergio","Silva, David",86,7,14,Complete,1st,43,2.7,154.6986047,13.3,-17.6,20.6,,,74.4,92,18.6,5.3
146,"Silva, David",Incomplete pass,87,7,17,Incomplete,1st,43,0.8,45.83662361,17.6,11.7,17.2,,,87.7,76,42.7,25.1
148,"Davies, Kevin",Incomplete pass,62,7,23,Incomplete,1st,30,4,229.1831181,-8.1,-4.4,7.2,,,38.2,42.6,55,63.1
150,"Barry, Gareth","Milner, James",90,7,27,Complete,1st,43,1,57.29577951,41.9,15.8,33,,,79.3,63.5,88,46.1
152,"Milner, James","Barry, Gareth",91,7,30,Complete,1st,43,3.5,200.5352283,-3.3,-5.2,5.9,,,74.7,79.9,70.4,73.7
154,"Barry, Gareth","Milner, James",92,7,33,Complete,1st,43,5.1,292.2084755,-14.9,3.8,10.9,,,74.7,70.9,61.4,76.3
156,"Milner, James",Incomplete pass,93,7,35,Incomplete,1st,43,0.4,22.91831181,4,6.2,7.1,,,80.9,74.7,65.4,61.4
158,"Eagles, Chris","Muamba, Fabrice",64,7,37,Complete,1st,30,5.7,326.5859432,-5.7,5.1,6.6,,,27.1,22,26.2,31.9
160,"Muamba, Fabrice",Incomplete pass,65,7,38,Incomplete,1st,30,1.2,68.75493542,21,5.8,15.5,,,32.9,27.1,47.2,26.2
162,"Klasnic, Ivan","Reo-Coker, Nigel",67,7,43,Complete,1st,30,0.9,51.56620156,12.1,5.9,10.3,,,45.1,39.2,58.4,46.3
164,"Reo-Coker, Nigel",N,68,7,44,Complete,1st,30,0.9,51.56620156,27,14.6,23.9,,,73.1,58.5,94.7,67.7
166,"Hart, Joe","Dzeko, Edin",97,8,17,Complete,1st,43,0.2,11.4591559,16.5,56.9,60.8,,,65.8,8.9,24,7.5
168,"Dzeko, Edin",N,98,8,21,Complete,1st,43,5.1,292.2084755,-10.9,2.5,7.9,,,67.6,65.1,10.1,21
170,"Reo-Coker, Nigel","Petrov, Martin",73,8,27,Complete,1st,30,1.1,63.02535746,14.8,4.3,11,,,32.4,28.1,92.5,77.7
